sepal_length,sepal_width,petal_length,petal_width,species,petal_ratio
5.1,3.5,1.4,0.2,setosa,6.999999999999999
4.9,3.0,1.4,0.2,setosa,6.999999999999999
4.7,3.2,1.3,0.2,setosa,6.5
4.6,3.1,1.5,0.2,setosa,7.5
5.0,3.6,1.4,0.2,setosa,6.999999999999999
5.4,3.9,1.7,0.4,setosa,4.25
4.6,3.4,1.4,0.3,setosa,4.666666666666667
5.0,3.4,1.5,0.2,setosa,7.5
4.4,2.9,1.4,0.2,setosa,6.999999999999999
4.9,3.1,1.5,0.1,setosa,15.0
5.4,3.7,1.5,0.2,setosa,7.5
4.8,3.4,1.6,0.2,setosa,8.0
4.8,3.0,1.4,0.1,setosa,13.999999999999998
4.3,3.0,1.1,0.1,setosa,11.0
5.8,4.0,1.2,0.2,setosa,5.999999999999999
5.7,4.4,1.5,0.4,setosa,3.75
5.4,3.9,1.3,0.4,setosa,3.25
5.1,3.5,1.4,0.3,setosa,4.666666666666667
5.7,3.8,1.7,0.3,setosa,5.666666666666667
5.1,3.8,1.5,0.3,setosa,5.0
5.4,3.4,1.7,0.2,setosa,8.5
5.1,3.7,1.5,0.4,setosa,3.75
4.6,3.6,1.0,0.2,setosa,5.0
5.1,3.3,1.7,0.5,setosa,3.4
4.8,3.4,1.9,0.2,setosa,9.499999999999998
5.0,3.0,1.6,0.2,setosa,8.0
5.0,3.4,1.6,0.4,setosa,4.0
5.2,3.5,1.5,0.2,setosa,7.5
5.2,3.4,1.4,0.2,setosa,6.999999999999999
4.7,3.2,1.6,0.2,setosa,8.0
4.8,3.1,1.6,0.2,setosa,8.0
5.4,3.4,1.5,0.4,setosa,3.75
5.2,4.1,1.5,0.1,setosa,15.0
5.5,4.2,1.4,0.2,setosa,6.999999999999999
4.9,3.1,1.5,0.1,setosa,15.0
5.0,3.2,1.2,0.2,setosa,5.999999999999999
5.5,3.5,1.3,0.2,setosa,6.5
4.9,3.1,1.5,0.1,setosa,15.0
4.4,3.0,1.3,0.2,setosa,6.5
5.1,3.4,1.5,0.2,setosa,7.5
5.0,3.5,1.3,0.3,setosa,4.333333333333334
4.5,2.3,1.3,0.3,setosa,4.333333333333334
4.4,3.2,1.3,0.2,setosa,6.5
5.0,3.5,1.6,0.6,setosa,2.666666666666667
5.1,3.8,1.9,0.4,setosa,4.749999999999999
4.8,3.0,1.4,0.3,setosa,4.666666666666667
5.1,3.8,1.6,0.2,setosa,8.0
4.6,3.2,1.4,0.2,setosa,6.999999999999999
5.3,3.7,1.5,0.2,setosa,7.5
5.0,3.3,1.4,0.2,setosa,6.999999999999999
7.0,3.2,4.7,1.4,versicolor,3.3571428571428577
6.4,3.2,4.5,1.5,versicolor,3.0
6.9,3.1,4.9,1.5,versicolor,3.266666666666667
5.5,2.3,4.0,1.3,versicolor,3.0769230769230766
6.5,2.8,4.6,1.5,versicolor,3.0666666666666664
5.7,2.8,4.5,1.3,versicolor,3.4615384615384612
6.3,3.3,4.7,1.6,versicolor,2.9375
4.9,2.4,3.3,1.0,versicolor,3.3
6.6,2.9,4.6,1.3,versicolor,3.538461538461538
5.2,2.7,3.9,1.4,versicolor,2.785714285714286
5.0,2.0,3.5,1.0,versicolor,3.5
5.9,3.0,4.2,1.5,versicolor,2.8000000000000003
6.0,2.2,4.0,1.0,versicolor,4.0
6.1,2.9,4.7,1.4,versicolor,3.3571428571428577
5.6,2.9,3.6,1.3,versicolor,2.769230769230769
6.7,3.1,4.4,1.4,versicolor,3.1428571428571432
5.6,3.0,4.5,1.5,versicolor,3.0
5.8,2.7,4.1,1.0,versicolor,4.1
6.2,2.2,4.5,1.5,versicolor,3.0
5.6,2.5,3.9,1.1,versicolor,3.545454545454545
5.9,3.2,4.8,1.8,versicolor,2.6666666666666665
6.1,2.8,4.0,1.3,versicolor,3.0769230769230766
6.3,2.5,4.9,1.5,versicolor,3.266666666666667
6.1,2.8,4.7,1.2,versicolor,3.916666666666667
6.4,2.9,4.3,1.3,versicolor,3.3076923076923075
6.6,3.0,4.4,1.4,versicolor,3.1428571428571432
6.8,2.8,4.8,1.4,versicolor,3.428571428571429
6.7,3.0,5.0,1.7,versicolor,2.9411764705882355
6.0,2.9,4.5,1.5,versicolor,3.0
5.7,2.6,3.5,1.0,versicolor,3.5
5.5,2.4,3.8,1.1,versicolor,3.454545454545454
5.5,2.4,3.7,1.0,versicolor,3.7
5.8,2.7,3.9,1.2,versicolor,3.25
6.0,2.7,5.1,1.6,versicolor,3.1874999999999996
5.4,3.0,4.5,1.5,versicolor,3.0
6.0,3.4,4.5,1.6,versicolor,2.8125
6.7,3.1,4.7,1.5,versicolor,3.1333333333333333
6.3,2.3,4.4,1.3,versicolor,3.3846153846153846
5.6,3.0,4.1,1.3,versicolor,3.1538461538461533
5.5,2.5,4.0,1.3,versicolor,3.0769230769230766
5.5,2.6,4.4,1.2,versicolor,3.666666666666667
6.1,3.0,4.6,1.4,versicolor,3.2857142857142856
5.8,2.6,4.0,1.2,versicolor,3.3333333333333335
5.0,2.3,3.3,1.0,versicolor,3.3
5.6,2.7,4.2,1.3,versicolor,3.230769230769231
5.7,3.0,4.2,1.2,versicolor,3.5000000000000004
5.7,2.9,4.2,1.3,versicolor,3.230769230769231
6.2,2.9,4.3,1.3,versicolor,3.3076923076923075
5.1,2.5,3.0,1.1,versicolor,2.727272727272727
5.7,2.8,4.1,1.3,versicolor,3.1538461538461533
6.3,3.3,6.0,2.5,virginica,2.4
5.8,2.7,5.1,1.9,virginica,2.6842105263157894
7.1,3.0,5.9,2.1,virginica,2.8095238095238098
6.3,2.9,5.6,1.8,virginica,3.1111111111111107
6.5,3.0,5.8,2.2,virginica,2.6363636363636362
7.6,3.0,6.6,2.1,virginica,3.1428571428571423
4.9,2.5,4.5,1.7,virginica,2.6470588235294117
7.3,2.9,6.3,1.8,virginica,3.5
6.7,2.5,5.8,1.8,virginica,3.222222222222222
7.2,3.6,6.1,2.5,virginica,2.44
6.5,3.2,5.1,2.0,virginica,2.55
6.4,2.7,5.3,1.9,virginica,2.7894736842105265
6.8,3.0,5.5,2.1,virginica,2.619047619047619
5.7,2.5,5.0,2.0,virginica,2.5
5.8,2.8,5.1,2.4,virginica,2.125
6.4,3.2,5.3,2.3,virginica,2.3043478260869565
6.5,3.0,5.5,1.8,virginica,3.0555555555555554
7.7,3.8,6.7,2.2,virginica,3.0454545454545454
7.7,2.6,6.9,2.3,virginica,3.0000000000000004
6.0,2.2,5.0,1.5,virginica,3.3333333333333335
6.9,3.2,5.7,2.3,virginica,2.4782608695652177
5.6,2.8,4.9,2.0,virginica,2.45
7.7,2.8,6.7,2.0,virginica,3.35
6.3,2.7,4.9,1.8,virginica,2.7222222222222223
6.7,3.3,5.7,2.1,virginica,2.7142857142857144
7.2,3.2,6.0,1.8,virginica,3.333333333333333
6.2,2.8,4.8,1.8,virginica,2.6666666666666665
6.1,3.0,4.9,1.8,virginica,2.7222222222222223
6.4,2.8,5.6,2.1,virginica,2.6666666666666665
7.2,3.0,5.8,1.6,virginica,3.6249999999999996
7.4,2.8,6.1,1.9,virginica,3.2105263157894735
7.9,3.8,6.4,2.0,virginica,3.2
6.4,2.8,5.6,2.2,virginica,2.545454545454545
